Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
1144,2066,1534,1125,1070,642,⚡satstacker⚡,[],Only Tor,1.1 bitcoin,13,038baffac55a282ae73e0627146a12a345f7beccb90dec07280e8b970a072849cf
2239,3085,2861,2422,2301,643,Bitmynt,[],Only Tor,1.1 bitcoin,5,0232a5c6b4e1f1dae5e50528fbc2f0de6f2d66363638c83cfab65391e3eff48ca8
1318,1602,1876,1108,1335,644,vajra,[],Only Tor,1.1 bitcoin,10,031054617ea79560ebe492873a1cc0f49d8466d10870a0731ab4e4beb4343909cc
596,761,1473,665,634,645,Diesel,[],Only Tor,1.1 bitcoin,21,038fb77fd39a5d0782027a420571482d9dbef1a24f129bbafc487ac084a2251e5f
1754,2921,2313,1130,1782,646,devnull,[],Only Tor,1.1 bitcoin,7,036b6555ed2e2f84eb472211147f4c8830d92d531497a8250144dadcd2c1fb8dd2
307,665,1866,964,330,647,StormFront,[],Only Tor,1.1 bitcoin,38,03d6e01e9cfa3e4f8d4720bd65d57612625b35b50f20d32b951ae5b95e608113ad
344,206,541,655,400,648,ln02.bixin.com,[],Only Clearnet,1.1 bitcoin,32,03fd105d7df6595d5a36f016b8ff9ca74e5474e29593c4bba85f4d7ad4663bc5ee
625,239,217,424,606,649,tunestr.io,[],Only Tor,1.1 bitcoin,22,0399aec05c7eadfcfab9ae0ede812e03e1e0e22914ec601fbd61f377762355bb71
4123,3480,3453,3199,4278,650,0358d414a87ee7f8e62e,[],Only Tor,1.1 bitcoin,2,0358d414a87ee7f8e62e8e87f6289e9bccbe9e8282bab2ef2a51b1c218185d388c
1754,1515,480,873,1782,651,02d38871e8be8431cfce,[],Only Tor,1.1 bitcoin,7,02d38871e8be8431cfcec76ed5886eb31cd9dd48816c9eabf3d2cdbd9a998b7428
512,540,151,416,523,652,LNGoods,[],Only Tor,1.1 bitcoin,25,0306dc1dc707635e81c3cd90c60abc0b98009fc55d3ecb078b2704091cb7f1863c
233,276,1889,959,226,653,Eprahs,[],Only Tor,1.1 bitcoin,52,0208d92b2d406094d794b2a6a512f585dbbdee810a870283b9c5bafc4fec8ac0aa
734,1102,2104,1597,704,654,F You Money! 02,[],Only Tor,1.1 bitcoin,19,03a522d86b208104ceb3022dfda4c3ee8f480d3bb065e629ee25a13a4fe67bb308
690,1061,1018,1023,704,655,Node Up or Shut Up II,[],Only Tor,1.1 bitcoin,19,0303e0423fd2c40d73978b03069f63d6ca5ae1abf61f5666bbbea886181f21e8e3
782,931,662,358,577,656,krut42,[],Only Clearnet,1.1 bitcoin,23,02961ed16db648f99ff5aa121a263420911d6b6011794f2a99b79397b5e8b2eed4
1144,2155,2387,1628,937,657,LIGHTNINGWHISPER,[],Only Tor,1.1 bitcoin,15,032e60320fe7ccfda6880e8ca639f5f63a1c5aa130270931e841fb517728ccb483
538,403,892,386,505,658,cguida,[],Only Tor,1.1 bitcoin,26,025ae40275ff32c9461ea7f65aa7ac8cdbf83814d2d9d2c402262fdcf69fd1f3d4
472,1571,1863,657,487,659,Node168⚡,[],Only Tor,1.1 bitcoin,27,03082e545d1b3d00ba235b4efde31e27e2683bc386fbd362fa24478d1794c5bf1f
912,1626,2002,882,937,660,unconsumed,[],Only Tor,1.1 bitcoin,15,0222726d590fab7bd46f698a1b6f3dbf0291b1250af7ced74ced89531b036906a7
625,904,1819,939,577,661,bityogi,[],Only Tor,1.1 bitcoin,23,020afdcfd0df48273366f4a6e7419411972d1c5bfd11e0865a0febd685448e377c
912,1255,1929,1128,937,662,frontiblitz,[],Only Tor,1.1 bitcoin,15,0216fcf031519e0924e5e4b64a731b207cccb85b13caebffd0f664a32a39bcd368
2239,3668,1444,1049,2301,663,learn.cantrill.io-2,[],Only Tor,1.1 bitcoin,5,03149bfdeadf43a7e243f4d5b09fc5fdb155c3e2954d146da1b1e1ec75834fe02b
734,2596,3313,2376,667,664,Genesis,[],Only Tor,1.1 bitcoin,20,02d3a7ff9f46fc5494374abed2cfa02e9502e42fa3d0425283e16cdfd9bcd7485f
472,539,1521,1127,455,665,LunaLightning🌙⚡,[],Only Tor,1.1 bitcoin,29,03c673ca36cbae6becd609e827745961a92c6e4661f6200c463b8c101691a7e91a
1062,1444,1799,1344,861,666,ComputoErgoSumZeroBaseFee,[],Only Tor,1.1 bitcoin,16,02607c9c92b7fa405dd27d8114d5ba1e6c04bf8757bef18b3649bffa2691d7638c
836,1418,854,1197,861,667,nevermind,[],Only Tor,1.1 bitcoin,16,0385ad517d68a47afc08eba7192b62fd440db74cd6710e6d24c74502fa2db0a37f
4123,4592,2724,2127,4278,667,032f6da91c68ec88aae6,[],Only Tor,1.1 bitcoin,2,032f6da91c68ec88aae659492b7a0e87606079696ef961ef35b975eea18895dd93
9999,9999,9999,9999,6425,669,We_Are_All_Satoshi,[],Only Clearnet,1.0 bitcoin,1,03e1f5245a7a346e03e28b49a677c9fbd1f948df30f7da7416f63fca4bb83be54b
596,869,1387,579,606,670,Enigmafi (kcoinLND),[],Only Tor,1.0 bitcoin,22,03127747aa9fb9b4813b7ebdd6ac47eb047954513ab06fe909689c2c42eaa49a33
1144,2476,1445,607,1070,671,Slithly,[],Only Tor,1.0 bitcoin,13,0391e1bdab04bc73b8f64ae65106990daea53b2510ab180feffd29bb9ef35b18f0
782,126,2016,2557,1225,672,senza,[],Only Clearnet,1.0 bitcoin,11,0267586e510d80fab314fbfa091f383b775646e7a87bc9ed8cd59bcded50405d6a
472,798,335,671,455,673,MCRNDonnager,[],Only Tor,1.0 bitcoin,29,03308939665ac715bcc194f760c2e920a9a5059b56e57c0eec63568db47dd85282
51,45,23,121,47,674,tokyo,[],Only Clearnet,1.0 bitcoin,166,02907887f9bfcc9e83512bfdf40ddfdabcb8569786f11ac3e9c52c42d77da3eb6b
1144,2585,3298,2132,1143,675,The Donut Hole,[],Only Tor,1.0 bitcoin,12,035e6eb3b7a12afdd524ddd3c7807146eb2ac62b1fda32b676042f6fdbef814b59
568,387,197,396,577,676,NodeyAndFriends,[],Only Tor,1.0 bitcoin,23,0389d4bfe60658ecc4859fc42b81e12e0eb5fcc142b938cba2760b4e921c12ed13
1144,2238,2420,1388,1225,677,xo_II,[],Only Tor,1.0 bitcoin,11,02e8b87796f8c4123d1b4bfb0365584bb6a7177c73c71bc1e6659509d74a7504a3
912,880,207,658,747,678,PDX,[],Only Clearnet,1.0 bitcoin,18,03d6f092d9806c189d8fe2475d8a31260e891a861f57c10d742e08c02412767d5e
538,381,680,433,547,679,chicken,[],Only Tor,1.0 bitcoin,24,030bc9e8a4048ca8337ff48363f643840e3333fd31ac36316b55ede34ab9f98d19
1754,3184,1241,816,1782,680,FlashPoint,[],Only Tor,1.0 bitcoin,7,0340cebc736a14b2b1598e896635f0858fd5dbb62c27d91fdf5cf16de9bafeb32a
1223,1789,1355,809,1225,680,Mash [Fire],[],Only Tor,1.0 bitcoin,11,03a007ec51c31a026e4eda14aa5bb6068361ddf91bc598667aa3d2fb02851f9b0f
1062,1621,282,518,861,682,02be99f8bdb0ceac55cb,[],Only Clearnet,1.0 bitcoin,16,02be99f8bdb0ceac55cb5ea64b0f4377e5ee5d06917ff55d38d712524af1298592
386,1015,2804,1372,400,683,Redwing Cherokee,[],Only Tor,1.0 bitcoin,32,0214b1f6b48998b9eb19d8a756af39a027202cecfe608450109465bbccf3bb74ed
1144,870,1504,1314,1006,684,LQwD-England,['LSP'],Only Tor,1.0 bitcoin,14,02be8a325c61af50aebc2004e3a3db0dc8d255f2fb95036738392172f739fa1c3a
836,1437,1998,849,861,685,Jiashan UAE,[],Only Tor,1.0 bitcoin,16,02de9990c589cef2745e70d78a767eb2a787fa65a0e1346a1c34f85b5b077074cd
2626,1982,1682,1514,2700,686,Hive,[],Only Clearnet,1.0 bitcoin,4,03b8a68ccec65c43c657b5280d0f592e3d491f0799a090aff38d3198e126f2ff76
9999,9999,9999,9999,6425,686,0294774ee02a9faa5a58,[],Only Tor,1.0 bitcoin,1,0294774ee02a9faa5a5870061f7f4833686184ad14a0b163c49442516c9edac1db
4788,4592,3912,3885,4278,688,02a0962fe3843d61d291,[],Only Tor,99.9m sats,2,02a0962fe3843d61d291fdd8c9ac65d7b6ac53120426142764a7202376d229786f
371,854,232,324,386,689,Dragsugg,[],Only Tor,99.8m sats,33,03f171125a76de0c957341488156993e3e6a603366021da31ef5811812b4881c81
1144,838,2468,1471,1225,690,Syndicate ~ ИetworK,[],Only Tor,99.6m sats,11,03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b
344,267,3629,3196,310,691,BTCsessions,[],Only Tor,99.4m sats,40,02e0d304ea61db67dcee3c3c4b53b1c43e3ed0a52e369cc86fe6e3562579739aa7
266,118,1907,1083,148,692,Start9 HQ,[],Only Tor,99.3m sats,72,025d28dc4c4f5ce4194c31c3109129cd741fafc1ff2f6ea53f97de2f58877b2295
538,1746,1278,617,547,693,CB⚡DC - Highway to Hell,[],Only Tor,99.0m sats,24,028ba0d4be716834f38a8f1a9203855f48feba85ca260e5024703d365b8571705b
987,538,1853,942,1070,694,SATM,[],Only Tor,98.7m sats,13,02cd1b7bc418fac2dc99f0ba350d60fa6c45fde5ab6017ee14df6425df485fb1dd
456,1440,2442,1101,455,695,Satograms,[],Only Tor,98.4m sats,29,0309bf5fe006bd2b14d61126723481c6c685bda44efe093800908527dfe9cd8db7
1062,1699,821,521,937,696,BFECO-AG,[],Only Clearnet,97.5m sats,15,0263e61766a8805e013ae539c2eadb10c2e38a4e2ed22ab1c0651568f4ab2380e0
201,603,609,183,210,697,Volarte⚡,[],Only Tor,97.2m sats,55,026b33a83311adebb7915427734e483787ef57d856f5c792ea6f866cfea7e58908
1144,1288,1413,1115,1070,698,bolt.observer,[],Only Clearnet,97.1m sats,13,0288037d3f0bdcfb240402b43b80cdc32e41528b3e2ebe05884aff507d71fca71a
1577,1856,1398,1882,1463,699,bconworld⚡|CLN,[],Only Tor,97.0m sats,9,02972e2342498fa91691dc5efd0deeb3dc7877b2f3d68ba9a698cf276b1d5de6ca
288,581,630,299,297,700,⚡Lightning Goats⚡,[],Only Tor,96.9m sats,41,02ce7abb5e625990f7898520bca721b7ae316165eef81133dcfe4068fcfbe37ac6
493,817,2250,792,505,701,Max Bob Chins Crab House,[],Only Tor,96.4m sats,26,0225ebcc280a5c1fb2e5d56fd2ada9a1b1277f66cf5ee090684e9e5f6e6313b475
625,1575,1122,570,634,702,BassetHound,[],Only Tor,96.3m sats,21,03698a61657d54ef3d43aff229da7037bdbea27654ed7fc043b439265132c52354
331,355,120,241,310,703,Yokes Quebec,[],Only Tor,96.0m sats,40,0315692a4191370e2f444d50e566bd1a71967c78f68144e7b5d3032c77fc7fb7ba
912,1828,161,309,937,704,LN Fast Track,[],Only Tor,95.5m sats,15,02221cef0bd01362a1cc3e8b95cfdaa9150737c99b89e5162892b3fadc70004aa2
625,2320,1658,484,634,705,Terminus,[],Only Tor,95.5m sats,21,02ec4695ac9e0af8f8ae42cedc903eedcd3cdb6d7f7407c483840649e23bf51bab
596,537,427,798,577,706,EUChatControlServer1,[],Only Tor,95.3m sats,23,024636018bfae0674b64513c8b5c247130f8273c75a93ca6536240a00d7253c132
782,612,362,512,704,707,sactown-bitcoiners-2,[],Only Tor,95.2m sats,19,026a0d374752a27ae489c37d6b37d76d9d7f8ad27a469d091d740018bbfbfdcf3a
625,959,1060,279,634,708,💊Orange-Pill💊,[],Only Tor,94.9m sats,21,03a7dfffc936f8cee05a113b1f737825fbe6147ce13254ca7e742845e00bda9b9e
987,1431,461,644,1006,709,boldthings,[],Only Tor,94.9m sats,14,0391ba02145417c7b6422ddad2b77f8416cafa912425848fd2b2ad555397486471
512,547,1087,562,487,710,zehkstoshiⒶ,[],Only Clearnet,94.6m sats,27,03339a8dca2023a3e2a7b4ee99f6a7be87d04bfd32775d3b7f85b0d6d30c457626
538,1154,1370,467,547,711,Muota-Bank,[],Only Tor,94.4m sats,24,030c6ace90f74ea293519469084a077ea49692e147b4d9c881b62c85f676d79eb4
782,1266,926,515,747,712,Nerk,[],Only Tor,94.2m sats,18,03c82c83da9e495a5f72fcfe1671f3ed84452234b82ef6f2403f24d08d59aa8295
836,1172,1137,1063,747,713,LQwD-Indonesia,['LSP'],Only Tor,94.0m sats,18,02b1afba6153f9668ea0be12f4dbfc396a782a52d3eccf868732a1088eb2cc5d69
319,549,1613,763,330,714,Eldorado,[],Only Tor,93.9m sats,38,02e20cd7de8385128138b82b8364693a66766b8fc60c00aaec0dcf0f92a0435490
782,2182,1552,946,634,715,funklnd,[],Only Tor,93.7m sats,21,02a4acf2042a6527daf094a331005c805146389c7b2272299335c9fbae2da036aa
416,789,2245,1444,433,716,GoldenEagle,[],Only Tor,93.5m sats,30,036af7ab4e7a929065414e52de5ca4c4d88b1dddaf8e1be261b1530e69d0f3693e
257,117,1254,1224,198,717,02a1d2856be336a58af0,[],Only Tor,93.4m sats,58,02a1d2856be336a58af08989aea0d8c41e072ccc392c46f8ce0e6e069f002035f3
1144,1944,1766,1270,1070,718,Obi-Wan Cryptobi,[],Only Tor,93.3m sats,13,03c445275ee7d79ee5778ca2ac81b7c4d84aed7ee04629e8d8f35434b3c21e2da8
1062,2873,1872,780,1070,719,Mining_copper,[],Only Tor,93.0m sats,13,030b1714841f7c0a797d87f79c68fd6b44eed1443e22468b9ff3e3a62306fec321
4788,4592,3698,3500,2006,720,lntid4,[],Only Clearnet,92.8m sats,6,03e4a5b7bc1dbc7824cb5293be8d20171e1a28ebe249df5ae14a870d853b43b732
2626,3191,3392,3739,1606,721,KapitalexPayEx,[],Only Clearnet,92.5m sats,8,03d93f27052c55ca636442f5b3432598978016738cd1cb4bd18705f1eb4552896f
1433,2327,565,773,861,722,cody99,,Only Tor,92.3m sats,16,03f7c7c4972880951a6e40bfbd6c87f330cbfad1f76c383d9034bc5dbb02b1070d
1433,2472,1549,735,1463,723,WolvesLeague🐺,[],Only Tor,92.0m sats,9,03a9f52bb6acf7fb9b4876d2a0da48251ca614b5562164a375783790ee92a610a9
657,1259,2204,1109,606,724,GooseNode,[],Only Tor,91.8m sats,22,023fac6abbc1a4d49f0d8e54b075286607e20a62c797068c3d094c4303b886a25f
386,19,149,1136,1006,725,Ang Sinah,[],Only Tor,91.7m sats,14,03a9b9b4d5bff67fb90d7deaf7db842e3aa5e3abea58fa488a8af3d163679107d7
734,1283,1617,757,704,726,Nomos,[],Only Tor,91.6m sats,19,03587d4a81a217efacd4127d610f2c965c6b3c410a0ac538503c751c2486630e18
538,1137,1930,786,547,727,N1ROX,[],Only Tor,91.5m sats,24,0265b8ed989c84321bcd0dfb77cdb4a8347cc5164f5e65d0c44654d1641f3cc15c
2239,4281,826,1158,2006,728,rewards-prod,[],Only Tor,90.9m sats,6,02121b05e7f57eac9e9f8a8e6081b3f51734cd61eb482d8906846e637ba45de4f0
1754,1225,1878,1199,1606,729,BuhoNode1,[],Only Tor,90.9m sats,8,023f79f1f148981cc9345390b8b9e80f234f7b5977a0fce4c329ba6867c3ae83f7
281,255,403,475,297,730,SpookyPaymentAtADistance,[],Only Tor,90.3m sats,41,030d8457f7c7f2a5d87faf538b0b85760556154b46d178a2d8fffa94b81a9cdb3f
438,132,1695,1810,3296,731,03a503d8e30f2ff40709,[],Only Tor,90.2m sats,3,03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019
1223,2172,1838,1215,1225,732,Nightfort,[],Only Clearnet,90.0m sats,11,03ea23e773775eb33004bf7d3431c61317cb1e969995e631e3349bd1ba7e5e33f8
734,1125,394,405,747,732,heisenberg,[],Only Tor,90.0m sats,18,029aa70f34d19677a159afcb8306da6dddc8363aa2adadd028a2984678122ffe78
912,1529,370,630,861,734,Alex71btc ⚡🚀,[],Only Tor,89.9m sats,16,02c7e1d98a1e2b61a14e3c1c0d9a36fc8eb257325f2277e8bcbe10b21337f2a45e
912,1141,1749,1141,747,735,ICanHasSats,[],Only Tor,89.8m sats,18,026209a739dbf4ab8c73db56773a61247e92fecc53ec5c8f7ae41f6d11fec64a04
836,564,399,1034,798,736,BENCOIN,[],Only Tor,89.4m sats,17,0313b66c1a2f4d1d1612c7f9d717b10272befdb7b003e3cb3744f2bcb607f5b6ab
912,202,178,674,667,737,lacrypta-villanueva,[],Only Tor,89.3m sats,20,030ef51039f200c65c5ec4037946b18d7129f63057bb7fe54ad707407a94b37ee0
836,744,731,505,861,738,21 Milli Cold,[],Only Tor,89.2m sats,16,03e043fee083718d631444023f3b548713fdf152b99371edc986144c54c033f1e9
1223,1123,465,689,1006,739,Fourth Turning ♻️ LND,[],Only Tor,88.8m sats,14,03bc072a0a571b7635ffafcdec53da5c809d06f2f0418adfe41b40ff257e796107
568,1263,1815,808,547,740,Go Brrr | LND,[],Only Tor,88.5m sats,24,02445854b90a954a3d6936c7d4a93bb8ecde414e683de1df451af870f9321eed28
987,1533,1620,789,1006,741,MAGNUS,[],Only Tor,88.3m sats,14,03fd3e0f2504e149b1907cab853712a213b182b8c972169fa3ad009b623533103f
782,643,618,937,704,742,Tigernodl,[],Only Tor,88.1m sats,19,023d153b512346a3a6026859ecf906d7f6912bc9fa4214ed4439ffafe47ba53cef
1433,1863,1876,1425,1463,743,machankura-y,[],Only Tor,87.6m sats,9,02f7518dd1e2e9ed5b9bb91348bd62006e96511412ee0e23467dd43b0f8d38c4f3
1144,1366,2634,1858,1143,744,DARMOK,[],Only Tor,87.5m sats,12,02f5474df66a0f887ad580f9028ec2dfdee779c71911effb45047e8ed952333f75
1062,1149,1612,799,1006,745,FreeRoaming,[],Only Tor,87.5m sats,14,0276499dd9775f36cf95506c16e14ed6ec4cf230e8e5d341a441e1190d3f9e1e4f
690,620,1761,868,747,746,CHILLYWHISPER,[],Only Tor,87.4m sats,18,02612b51b61a90e19ec4c6b0f3409e58175efe66cbf665df7805cafc84aee3a551
538,656,341,523,523,747,CleanFastNode | Low Fee to Free,[],Only Tor,87.1m sats,25,02708a3f6146d89fc77cb8af4ebd877241cf44a18108981a67a6ba438de1f2d322
734,1235,1240,1408,667,748,centex,[],Only Tor,87.0m sats,20,0210ef7d43c105753673563feb1e20fe344b844ab65aa710cb2288a257ec024c99
912,799,1128,821,937,749,cornhauler.express,[],Only Tor,86.8m sats,15,028ed235ce7921fc8fbb2c1a775240115ce4d9edda194862868aa3d71eab3e6f91
386,378,752,539,376,750,bitcoinitaliapodcast,[],Only Clearnet,86.5m sats,34,037621d90b5f3673834287d2f87d4c5a014ccad50a973d3b8c6aa5b94c30a537e7
596,594,1058,1236,606,751,VersusMedia,[],Only Tor,86.5m sats,22,0332f9a34057f5edf02d97f0cb484c78a0420048f5031124f4b53cc2006d05c62e
657,1314,1868,852,667,752,DeltaSwap,[],Only Tor,86.2m sats,20,03930b55a0b824ef3190ec623cffef7e91dfb336ac239d18c62f2987d382d77e5a
1144,237,3135,3543,2006,753,SwissNode-Bank,[],Only Tor,86.0m sats,6,03271562ad6fbb9b208eafe203216233cd756a3981c77ef1c5afda109df8be5ac2
1062,1208,926,925,861,754,Fincenzo,[],Only Tor,85.9m sats,16,02d6dba84f80ac8e3c8525965f072ba044fcf3b41da00ca417308a9e2c92069499
331,158,205,247,319,755,AYLSAokTyCphMs4nYXK94ZahHXsax2,[],Only Tor,85.8m sats,39,02f1da3df3636e5c71afbb66f6801b8b8efde3f3446c47e752b6004a093675070a
690,811,900,863,667,756,LQwD-Singapore,['LSP'],Only Tor,85.5m sats,20,026756a68c3437bdcdff8f43585db665fdd9585d082f4624d51bd0346bc396a73e
2239,3846,2549,2007,2301,757,lipa.swiss lsp mainnet,[],Only Clearnet,85.0m sats,5,0375d3650413330a548484d0d25b855847dc13ff9239b8edc41c6758af126fa671
1433,1840,2592,2498,1606,758,ln.felixweis.com,[],Only Tor,84.8m sats,8,03beddc8adbf7d56a7da15cdaf95d97b24d07088c3571b421c0e6f9d551a210342
1318,3056,1970,1291,1225,759,AndeAndeLumut,[],Only Tor,84.8m sats,11,02bdb6c80604f46458394da1e404cf414fe13ba117e7f2718ad7ae5ccc325d0824
2626,4592,2241,1188,2700,760,cyber bank,[],Only Tor,84.6m sats,4,03c4ad3be6b901bbd45fd211088d2bf38e612122895d841e679e67cb486c6fdce9
987,1475,373,889,1006,761,H0DLem,[],Only Tor,84.5m sats,14,030fe0ba5358f117715956e856be46e2e5e830df3d1fab2eaaecfd46550f2b217c
782,351,1154,1498,747,762,Cypher,[],Only Tor,84.4m sats,18,02d5246fa6bccbb80732146e198d243c49348a29d847ca8486742f5bbec158744f
1577,2218,591,867,1335,763,Satsback.com,[],Only Tor,84.3m sats,10,020ba31412bf883e492ad8a58bfb09818fafa2cbf9512ffbbedaa2de7387fb0ef5
690,852,1499,1060,606,764,not benthecarman,[],Only Clearnet,84.0m sats,22,02f7467f4de732f3b3cffc8d5e007aecdf6e58878edb6e46a8e80164421c1b90aa
690,1256,339,590,704,765,⚡ LN PLEB 🚀,[],Only Tor,83.9m sats,19,03065467afc8af809ab69862a1de14209c798f231b110d9c80565fc52062ec216e
912,1508,334,442,937,766,vipsats1,[],Only Clearnet,83.8m sats,15,02115d3de2e740854d46375ef945e9ff8071832e75ef047e795314119a3a734f8e
3209,3956,4125,4322,3296,767,0320e754312dfaf6deca,[],Only Tor,83.8m sats,3,0320e754312dfaf6deca80497ba36c5158dd2273abd3953798f291154eaa0be0de
1754,2089,437,656,1782,768,triple_lightning_412346501149638,[],Only Clearnet,83.5m sats,7,022d913e98e18f4e72531a78875fcb3e34cdc14d62f41156dd403a997b5a28df93
456,897,1636,1069,473,769,GudeNode,[],Only Tor,83.5m sats,28,026879e2a833429e33ff5bd8a0fabdaf473ad5cab2e173ba161134aa89b0cb7ee3
1577,2577,1034,1325,1335,770,020733281e6d5c7facfe,[],Only Tor,83.4m sats,10,020733281e6d5c7facfec05aa7b35034f00c480b5849544047fe4fecfb44cca663
538,277,414,601,505,771,LightningUSM,[],Only Tor,83.3m sats,26,02465032f2fd0071c1e82239765facacedf52db28d4d343dea33efcb0179ef5b39
1062,1843,2658,2135,937,772,BitcoinPark.com,[],Only Tor,83.3m sats,15,0271f0ef4478e0cf5bb421797fc362dcfa62fd6001faf945adcf44ad5bdb42df4e
1144,1886,2258,1124,747,773,yggdrasil-wallib,[],Only Tor,83.2m sats,18,02ee5b1739e0de315776fc4d3b4f2665f7e4974aff7afe04eb67eb0ec9838d9c19
734,178,1747,1309,1463,774,HD-Crypto,[],Only Tor,83.2m sats,9,02cbc036f85c74f26edf19f5a8513a96d162282ab68aa62cee47439a553519ddd5
912,292,960,1503,1143,775,Satoshi's ⚡ World NL,[],Only Clearnet,82.6m sats,12,0266ad254117f16f16c3457e081e6207e91c5e414477a208cf4d9c633322799038
912,1771,723,948,937,776,Nomadic75,[],Only Tor,82.5m sats,15,02a3b7b3f8f3c0e9d8ec2f0feac3b037818adf01df176c014e85d4b3d9acc2eacd
690,2055,2208,1231,667,777,🇲🇾Lada,[],Only Tor,82.3m sats,20,02c911ba09b21441200e0424279720ec13290b36cd51f4ab1a80cbb40b3baf0fe1
493,176,135,330,577,778,sparkBlitz,[],Only Tor,82.2m sats,23,0294967f3327884442de266e865f21c2812d5bce7c1081d375c55f6e47322bcc72
734,419,329,721,747,779,LOKI,[],Only Tor,82.1m sats,18,024838dd54569cf607d76572a2fad528d8bb9d923eea2ae24edf046702b7b6b718
782,1408,397,664,798,780,Blitzbahn,[],Only Tor,82.0m sats,17,023361d515b2dcbdf121c59193956b3608175d3bdca60ebd6cbb968b16b5c6c435
1577,2028,1684,949,1606,781,freedominchaos,[],Only Tor,81.8m sats,8,02f273ac65a8a826f88e6c48e5ba44f2eb2ee63486350b2db6f60a408b1e0ceb05
657,2230,2048,1361,667,782,jairusats,[],Only Tor,81.6m sats,20,02cc7f5d4d167ec871341f8f2a4c175546b71b417166ac7a9ac5b5793678f15d1b
734,1445,206,388,704,783,BitcoinIsHope,[],Only Tor,81.4m sats,19,0260926a546fcae46b8382c2a3fa9de8b778abf26c8913b0f70670e61df8f019fb
1062,2304,1670,839,1070,784,Angelina Paris,[],Only Tor,81.3m sats,13,03cb8d989cfe7e59d0302a49d5ec96d1dbdb4ed943ca424d1108b9f6a7fc843fc8
782,970,352,588,798,785,Corny Badger,[],Only Tor,80.8m sats,17,02b406147f5db0d33eff7d6a2be39cf76f9ba68918db483f5a9c436c610be04a57
4123,4592,3015,2695,4278,786,032a54b1e9cd2ff8ec5f,[],Only Tor,80.6m sats,2,032a54b1e9cd2ff8ec5f58915a749cf074e957006e8b4da9c8497fed4b6c6f88dc
1754,1238,2173,1423,1606,787,lessefer,[],Only Tor,80.6m sats,8,026286c3cd678fca4f2532c1529a183444002bc1031711f258479c4a920e547fc4
657,1498,1164,400,667,788,Storm the Region,[],Only Tor,80.5m sats,20,03d95924d6de5784f0b610d5a597d4a94e247c6da5e8db39a3d051cd9059467719
734,1867,1667,1107,747,789,Lohkotek 1,[],Only Tor,80.0m sats,18,031fe264e70b544b4469027ca557ce97bb3f1d0f3ed9e2f4c6565c2e942dad6a79
2239,3484,2489,2074,2301,790,02415d7ec37a7bb22b27,[],Only Tor,80.0m sats,5,02415d7ec37a7bb22b27ed675f0810090392be6b3143d1186f80ba2dd8d76b07fa
1318,2348,1385,571,1335,791,T4b4j4r4ORG,[],Only Tor,79.8m sats,10,024a7699dd6d5159a1893050ef9f21d2f5ff6902f1e470c94ca282b6182b990ef1
782,484,211,567,747,792,Лимон🍋@wuerges.xyz,[],Only Tor,79.8m sats,18,03936504c39828f66aa1c900f5e4299a0945106d63d04a27df7c1ef97d778554ab
987,598,1304,1269,1006,793,VIDA.live,[],Only Tor,79.8m sats,14,03c1f2781c735c0538745657447f546f50d401ae44cbd9d0fbbe6538337be14ba3
836,1135,1367,1103,634,794,LQwD-Sweden,['LSP'],Only Tor,79.8m sats,21,032312e5e15e89211df36e473d76af60672e3efebfe42a9b2113acbb456050b502
2626,4170,2517,1752,2006,795,millennium-falcon,[],Only Tor,79.5m sats,6,03022cf8fd85cec30fcd705fd4c42adbce73105110a46fca29d108b5f88be98258
912,1483,356,624,937,796,metastackdata.com,[],Only Tor,79.4m sats,15,038ec8cd65fb69e147c2bd6de83f2ba57e312764cbeac2f594ae68d6b9c174f019
1318,2594,1215,729,1335,797,BetweenBits1,[],Only Tor,79.4m sats,10,02a81f90ae5574dc84bc3ae2db50ff995f32c02a90f64ed1b5c5d74e91bbe72d0f
657,654,163,369,577,798,NodalNoodle,[],Only Tor,79.3m sats,23,022f6f878bcd349677f41f1b2cea677ea74836087d93e14e2780b35b2d087f873a
1318,1207,1987,1116,1225,799,03fe87c7b8c40ac8ab6f,[],Only Tor,79.2m sats,11,03fe87c7b8c40ac8ab6f569ce7bbe73a7ce25ee288a5219cc89f949547866b0b66
1223,607,1905,1345,1225,801,RatPoison,[],Only Tor,79.0m sats,11,030751b547f0e59c40086bd6a2b5efbaaccfa850aa5af5118253070ee123787193
568,172,442,771,505,801,Sirius⚡,[],Only Tor,79.0m sats,26,02926b19109c70bc8dafa980fd65a1bff673d3a52603b816aa80d27f7961dfa945
912,2343,779,363,861,801,REDWHISPER,[],Only Clearnet,79.0m sats,16,02fec2246b2ca7cc19f14666729ea02e633977eb5f3876d3abc91ca4fa6101d5d3
512,454,390,491,505,803,ByteBank,[],Only Tor,78.9m sats,26,035eccfe70527efc01a56460b0b5a1abc7b65bc6c6ecb686856078b193fc21d39c
